StationID,Date,Type,Value,Ignore1,Ignore2,Ignore3,Ignore4,Latitude,Longitude,Elevation,State,Station,Ignore5,Ignore6
US009052008,20151229,SNWD,80,,,C,,43.7333,-96.6333,482.0,SD,SIOUX FALLS (ENVIRON. CANADA),,,
US10adam056,20151229,SNWD,51,,,N,,40.5800,-98.3717,0.0,NE,HASTINGS 1.0 ESE,,,
US10cass001,20151229,SNWD,127,,,N,,40.9946,-95.8976,337.1,NE,PLATTSMOUTH 1.4 SW,,,
US10doug006,20151229,SNWD,178,,,N,,41.2658,-95.9927,366.1,NE,OMAHA 2.9 W,,,
US10dund010,20151229,SNWD,0,T,,N,,40.1177,-101.7821,994.0,NE,PARKS 6.0 NW,,,
US10knox018,20151229,SNWD,229,,,N,,42.7661,-97.5637,0.0,NE,CROFTON 4.4 WNW,,,
US10lanc007,20151229,SNWD,76,,,N,,41.0032,-96.6763,387.1,NE,DAVEY 1.2 NNW,,,
US10lanc012,20151229,SNWD,51,,,N,,40.7544,-96.7611,380.1,NE,LINCOLN 5.8 WSW,,,
US10loup003,20151229,SNWD,76,,,N,,41.8687,-99.2908,719.0,NE,BURWELL 10.2 WNW,,,
US10madi017,20151229,SNWD,114,,,N,,42.0290,-97.4185,465.1,NE,NORFOLK 0.1 WNW,,,
US10sarp006,20151229,SNWD,152,,,N,,41.1056,-95.9386,326.1,NE,BELLEVUE 3.3 WSW,,,
US10sarp031,20151229,SNWD,229,,,N,,41.1431,-96.0597,0.0,NE,PAPILLION 1.2 WSW,,,
US10sarp039,20151229,SNWD,140,,,N,,41.1674,-95.9500,0.0,NE,BELLEVUE 3.7 WNW,,,
US10sewa010,20151229,SNWD,51,,,N,,41.0006,-97.3461,483.1,NE,GRESHAM 3.5 ESE,,,
US10thay007,20151229,SNWD,10,,,N,,40.2377,-97.7531,491.0,NE,DAVENPORT 6.0 SE,,,
US10vall009,20151229,SNWD,114,,,N,,41.4239,-99.1593,666.0,NE,ARCADIA 1.7 W,,,
US1ALJC0003,20151229,SNWD,0,,,N,,34.8057,-86.2483,198.1,AL,HOLLYTREE 0.6 NNE,,,
US1ALLD0034,20151229,SNWD,0,,,N,,34.8877,-87.7030,182.6,AL,FLORENCE 4.7 NNW,,,
US1ALMY0007,20151229,SNWD,0,,,N,,32.3772,-86.2575,94.5,AL,MONTGOMERY 2.2 NE,,,
US1ALRS0003,20151229,SNWD,0,,,N,,32.2918,-85.1893,121.0,AL,SEALE 1.4 W,,,
US1ARFK0017,20151229,SNWD,0,,,N,,35.2596,-92.4054,131.4,AR,GREENBRIER 2.4 NNW,,,
US1ARPL0001,20151229,SNWD,0,,,N,,34.5980,-94.2895,350.5,AR,MENA 3.2 WNW,,,
US1ARPS0058,20151229,SNWD,0,,,N,,34.8240,-92.2531,155.4,AR,NORTH LITTLE ROCK 2.5 N,,,
US1ARSL0023,20151229,SNWD,0,,,N,,34.5360,-92.7651,130.1,AR,BENTON 10.9 WSW,,,
US1AZCN0002,20151229,SNWD,51,,,N,,35.0938,-111.6954,2078.7,AZ,FLAGSTAFF 7.8 SSW,,,
